COLETIVO Museu de Arte Contemporânea de Niterói M986s  [2005] Coleção Bibliográfica
INDIVIDUAL QUEIROGA, Suzana Q3s  2005 Coleção Bibliográfica
INDIVIDUAL AMARAL, Tarsila do A485t  2005 Coleção Bibliográfica 
COLETIVO Itaú Cultural I88t  2000 Coleção Bibliográfica 
COLETIVO Museu de Arte Contemporânea de Niterói M986m  2010 Coleção Bibliográfica 
INDIVIDUAL VIANA, Teresa V614t  1996 Coleção Bibliográfica 
COLETIVO International Arts Festival Europalia I61t  2011 Coleção Bibliográfica
INDIVIDUAL CARVALHO, Klinger C331t  1997 Coleção Bibliográfica 
INDIVIDUAL EZER, Oded E99t  2011 Coleção Bibliográfica 
COLETIVO Museu da Fotografia Cidade de Curitiba W314t  2012
COLETIVO Centro Nacional de Folclore e Cultura Popular C397t  2013 Coleção Bibliográfica 
COLETIVO Museu de Arte Moderna do Rio de Janeiro M986  1996 Coleção Bibliográfica 
COLETIVO Museu Nacional de Belas Artes M986t  1994 Coleção Bibliográfica 
COLETIVO Itaú Cultural I88  2004 Coleção Bibliográfica 
INDIVIDUAL VENOSA, Angelo V464t  2009 Coleção Bibliográfica
COLETIVO Instituto Cervantes I59u  2007 Coleção Bibliográfica
COLETIVO Fundação Vera Chaves Barcellos F981p  2012 Coleção Bibliográfica 
COLETIVO Centro Cultural Banco do Brasil C397g  2001 Coleção Bibliográfica 
COLETIVO Serviço Social do Comércio. SESC S491u  2012 Coleção Bibliográfica 
INDIVIDUAL RODRIGUES, Glauco R696g  2011 Coleção Bibliográfica
INDIVIDUAL BELIN, Valérie B431v  2011 Coleção Bibliográfica 
INDIVIDUAL NAVA, Raquel N316v  2011 Coleção Bibliográfica 
INDIVIDUAL FRANÇA, Verônica F814v  2002 Coleção Bibliográfica
INDIVIDUAL LEIRNER, Nelson L531v  2008 Coleção Bibliográfica 
COLETIVO Santander Cultural S232v  2011 Coleção Bibliográfica 
INDIVIDUAL ARRUDA, Victor A773v  1989 Coleção Bibliográfica 
INDIVIDUAL CALEGARI, Virgilio C148v  2011 Coleção Bibliográfica 
COLETIVO Galeria Olido G154v  2005 Coleção Bibliográfica 
INDIVIDUAL VLAVIANOS, Nicolas V867v  2011 Coleção Bibliográfica 
INDIVIDUAL CALDAS, Waltercio C145w  1986 Coleção Bibliográfica 
INDIVIDUAL LABRA, Daniela L126w  2010 Coleção Bibliográfica 
INDIVIDUAL BOTELHO, Adir B748a  2012 Coleção Bibliográfica 
COLETIVO Bienal São Paulo B588  1989 Coleção Bibliográfica 
INDIVIDUAL HEIM, Elias H467e  1998 Coleção Bibliográfica 
INDIVIDUAL ZALUAR, Alberto Z22z  2011 Coleção Bibliográfica 
COLETIVO Santander Cultural S232z  2012 Coleção Bibliográfica 
COLETIVO Vitra Design Museum V846z  2012 Coleção Bibliográfica 
7(81)INDIVIDUAL  GOLDFARB, Walter  G618o  2000  Coleção Bibliográfica 
COLETIVO Casa Daros C335c  2013 Coleção Bibliográfica
999.999 Coleção Bibliográfica
LA 74 R149s  2012 Coleção Bibliográfica
INDIVIDUAL  LICHTENSTEIN, Roy L699l  2005 Coleção Bibliográfica
INDIVIDUAL  LICHTENSTEIN, Roy L699r  2005 Coleção Bibliográfica
INDIVIDUAL MESSIAS, Manuel M585m  2011 Coleção Bibliográfica
COLETIVO Banco nacional de Desenvolvimento Econômico e Social - BNDES M687  2004 Coleção Bibliográfica
INDIVIDUAL FLEMMING, Alex F599a  2001 Coleção Bibliográfica
INDIVIDUAL FLEMMING, Alex F599s  1991 Coleção Bibliográfica
COLETIVO Museu de Arte Brasileira M986n  2004 Coleção Bibliográfica
INDIVIDUAL FLEMMING, Alex F599a  1998 Coleção Bibliográfica
INDIVIDUAL CHAVES, Marcos C512m  2001 Coleção Bibliográfica
INDIVIDUAL FLEMMING, Alex F599a  2012 Coleção Bibliográfica
